Source,Content
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for cytomegalovirus anterior uveitis. Am J Ophthalmol 2021;228:89-95,"Classification Criteria for Cytomegalovirus Anterior Uveitis
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, anterior chamber inflammation should be present
 c. no evidence of retinitis
AND
2. Evidence of cytomegalovirus infection in the eye
 a. Positive PCR* for cytomegalovirus on aqueous specimen

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Aqueous specimen PCR positive for herpes simplex virus or varicella zoster virus
Criteria
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, anterior chamber inflammation should be present
 c. no evidence of retinitis
AND
2. Evidence of cytomegalovirus infection in the eye
 a. Positive PCR* for cytomegalovirus on aqueous specimen

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Aqueous specimen PCR positive for herpes simplex virus or varicella zoster virus
Criteria
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, anterior chamber inflammation should be present
 c. no evidence of retinitis
AND
2. Evidence of cytomegalovirus infection in the eye
 a. Positive PCR* for cytomegalovirus on aqueous specimen

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Aqueous specimen PCR positive for herpes simplex virus or varicella zoster virus
"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for herpes simplex virus anterior uveitis. Am J Ophthalmol 2021;228:231-6,"Classification Criteria for Herpes Simplex Anterior Uveitis
Criteria
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, severity is less than anterior chamber inflammation
 c. no evidence of retinitis
AND
2. Unilateral uveitis (unless there is a positive aqueous PCR* for herpes simplex virus)
AND
3. Evidence of herpes simplex infection in the eye
 a. aqueous humor PCR positive for herpes simplex virus OR
 b. sectoral iris atrophy in a patient <50 years of age OR
 c. herpes simplex keratitis

Exclusions
1.	Concomitant dermatomal/cutaneous varicella zoster virus (unless aqueous specimen PCR positive for herpes simplex virus)
2.	Positive serology for syphilis using a treponemal test 
3.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
4.	Aqueous specimen PCR positive for cytomegalovirus or varicella zoster virus"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for varicella zoster virus anterior uveitis. Am J Ophthalmol 2021;228:165-73,"Classification Criteria for Varicella Zoster Virus Anterior Uveitis
Criteria
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, severity is less than anterior chamber inflammation
 c. no evidence of retinitis
AND
2. Unilateral uveitis (unless there is a positive aqueous PCR* for varicella zoster virus)
AND
3. Evidence of varicella zoster virus infection in the eye
 a. aqueous humor PCR positive for varicella zoster virus OR
 b. sectoral iris atrophy in a patient > 60 years of age OR
 c. concurrent or recent dermatomal Herpes zoster

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Aqueous specimen PCR positive for cytomegalovirus or herpes simplex virus"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for Fuchs Uveitis Syndrome. Am J Ophthalmol 2021;228:262-7,"Classification Criteria for Fuchs Uveitis Syndrome
Criteria
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if vitreous cells are present, anterior chamber inflammation also should be present
 c. no evidence of active retinitis
AND
2. Unilateral uveitis 
AND
3. Evidence of Fuchs uveitis syndrome
 a. heterochromia OR
 b. unilateral diffuse iris atrophy AND stellate keratic precipitates 
AND 
4. Neither endotheliitis nor nodular, coin-shaped endothelial lesions

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Aqueous specimen PCR* positive for cytomegalovirus, herpes simplex virus or varicella zoster virus"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for juvenile idiopathic arthritis-associated chronic anterior uveitis. Am J Ophthalmol 2021;228:192-7,"Classification Criteria for Juvenile Idiopathic Arthritis-associated Chronic Anterior Uveitis
Criteria
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, severity is less than anterior chamber inflammation
AND 
2. Chronic anterior uveitis or, if at initial diagnosis, uveitis is of insidious onset and asymptomatic/ minimally symptomatic
AND
3. Juvenile idiopathic arthritis of the following subtypes*
 a. Oligoarthritis, persistent or extended, OR
 b. Rheumatoid factor negative polyarthritis, OR
 c. Juvenile psoriatic arthritis, other than psoriatic spondylitis 

Exclusions
1.	Enthesitis-related arthritis
2.	Positive serologic test for syphilis using a treponemal test
3.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata) or other granulomatous disease (e.g. familial juvenile systemic granulomatosis)19-22
4.	Aqueous specimen PCR positive for cytomegalovirus, herpes simplex virus, or varicella zoster virus"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for spondyloarthritis/HLA-B27-associated anterior uveitis. Am J Ophthalmol 2021;228:117-25,"Classification Criteria for Spondyloarthritis/HLA-B27-associated Anterior Uveitis
Criteria 
1. Evidence of anterior uveitis
 a. anterior chamber cells
 b. if anterior vitreous cells are present, severity is less than anterior chamber inflammation
AND either (both #2 and #3) OR #4
2. Characteristic uveitis course 
a.	Acute or recurrent acute, unilateral or unilateral alternating course OR
b.	Chronic course with a history of a recurrent acute, unilateral or unilateral alternating course evolving into chronic course 
AND 
3.	ASAS-defined spondyloarthritis (axial or peripheral)* and/or HLA-B27-positive 
OR
4.	Chronic uveitis with both ASAS-defined spondyloarthritis (axial or peripheral) AND HLA-B27-positive

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Aqueous specimen PCR† positive for cytomegalovirus, Herpes simplex virus or Varicella zoster virus"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for tubulointerstitial nephritis with uveitis syndrome. Am J Ophthalmol 2021;228:255-61,"Classification Criteria for Tubulointerstitial Nephritis with Uveitis Syndrome 
Criteria
1. Evidence of anterior uveitis
a.	anterior chamber cells
b.	if vitritis or choroiditis or retinal vascular changes are present, anterior chamber inflammation also should be present
AND
2. Evidence of tubulointerstitial nephritis, either
a.	Positive renal biopsy OR
b.	Elevated urine β-microglobulin and either abnormal urine analysis or elevated serum creatinine

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for multiple sclerosis-associated Intermediate Uveitis. Am J Ophthalmol 2021;228:72-9,"Classification Criteria for Multiple Sclerosis-associated Intermediate Uveitis
Criteria
1. Evidence of intermediate uveitis
 a. vitreous cells AND/OR vitreous haze
 b. if anterior chamber cells are present, anterior chamber inflammation less than vitreous 
 c. no evidence of retinitis or choroiditis
AND
2. Evidence of multiple sclerosis using the Revised McDonald Diagnostic Criteria*

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Positive serology for Lyme disease, either IgG or IgM (e.g. positive ELISA AND Western blot with requisite number of bands for assay used)"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for pars planitis. Am J Ophthalmol 2021;228:268-74,"Classification Criteria for Pars Planitis
Criteria
1. Evidence of intermediate uveitis
a.	vitreous cells AND/OR vitreous haze
b.	if anterior chamber cells are present, anterior chamber inflammation severity less than vitreous severity
c.	no evidence of retinitis or choroiditis
d.	no retinal vascular occlusion in posterior pole & mid-periphery
AND
2. Evidence of pars planitis
a.	vitreous snowballs OR
b.	pars plana snowbanks 

Exclusions
1.	Multiple sclerosis, defined by the McDonald criteria28
2.	Positive serology for syphilis using a treponemal test
3.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
4.	Positive serology for Lyme disease, either IgG or IgM (e.g. positive ELISA AND Western blot with requisite number of bands for assay used)"
"Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for intermediate uveitis, non-pars planitis type. Am J Ophthalmol 2021;228:159-64","Classification Criteria for Intermediate Uveitis, Non-Pars Planitis Type
Criteria
1. Evidence of intermediate uveitis
a.	vitreous cells AND/OR vitreous haze
b.	if anterior chamber cells are present, anterior chamber inflammation less than vitreous 
c.	no evidence of retinitis
AND
2. No evidence of pars planitis
a.	neither vitreous snowballs NOR
b.	pars plana snowbanks 

Exclusions 
1.	Multiple sclerosis, defined by the McDonald criteria28
2.	Positive serology for syphilis using a treponemal test
3.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
4.	Positive serology for Lyme disease, either IgG or IgM (e.g. positive ELISA AND Western blot with requisite number of bands for assay used)
5.	Evidence of intraocular lymphoma on diagnostic vitrectomy"
