pmid,title,authors,abstract,citation_count,publication_date
16196117,Standardization of uveitis nomenclature for reporting clinical data. Results of the First International Workshop.,"Jabs, Douglas A; Nussenblatt, Robert B; Rosenbaum, James T","Title: Standardization of uveitis nomenclature for reporting clinical data. Results of the First International Workshop.
Authors: Jabs, Douglas A; Nussenblatt, Robert B; Rosenbaum, James T
Publication Date: 2005-Sep-1
PMID: 16196117
To begin a process of standardizing the methods for reporting clinical data in the field of uveitis.
DESIGN: Consensus workshop.
METHODS: Members of an international working group were surveyed about diagnostic terminology, inflammation grading schema, and outcome measures, and the results used to develop a series of proposals to better standardize the use of these entities. Small groups employed nominal group techniques to achieve consensus on several of these issues.
RESULTS: The group affirmed that an anatomic classification of uveitis should be used as a framework for subsequent work on diagnostic criteria for specific uveitic syndromes, and that the classification of uveitis entities should be on the basis of the location of the inflammation and not on the presence of structural complications. Issues regarding the use of the terms ""intermediate uveitis,"" ""pars planitis,"" ""panuveitis,"" and descriptors of the onset and course of the uveitis were addressed. The following were adopted: standardized grading schema for anterior chamber cells, anterior chamber flare, and for vitreous haze; standardized methods of recording structural complications of uveitis; standardized definitions of outcomes, including ""inactive"" inflammation, ""improvement'; and ""worsening"" of the inflammation, and ""corticosteroid sparing,"" and standardized guidelines for reporting visual acuity outcomes.
CONCLUSIONS: A process of standardizing the approach to reporting clinical data in uveitis research has begun, and several terms have been standardized.",1185,2005-Sep-1
17496900,TH17 cells contribute to uveitis and scleritis and are expanded by IL-2 and inhibited by IL-27/STAT1.,"Amadi-Obi, Ahjoku; Yu, Cheng-Rong; Liu, Xuebin; Mahdi, Rashid M; Clarke, Grace Levy; Nussenblatt, Robert B; Gery, Igal; Lee, Yun Sang; Egwuagu, Charles E","Title: TH17 cells contribute to uveitis and scleritis and are expanded by IL-2 and inhibited by IL-27/STAT1.
Authors: Amadi-Obi, Ahjoku; Yu, Cheng-Rong; Liu, Xuebin; Mahdi, Rashid M; Clarke, Grace Levy; Nussenblatt, Robert B; Gery, Igal; Lee, Yun Sang; Egwuagu, Charles E
Publication Date: 2007-Jun-1
PMID: 17496900
T-helper type 17 cells (T(H)17) are implicated in rodent models of immune-mediated diseases. Here we report their involvement in human uveitis and scleritis, and validate our findings in experimental autoimmune uveoretinitis (EAU), a model of uveitis. T(H)17 cells were present in human peripheral blood mononuclear cells (PBMC), and were expanded by interleukin (IL)-2 and inhibited by interferon (IFN)-gamma. Their numbers increased during active uveitis and scleritis and decreased following treatment. IL-17 was elevated in EAU and upregulated tumor necrosis factor (TNF)-alpha in retinal cells, suggesting a mechanism by which T(H)17 may contribute to ocular pathology. Furthermore, IL-27 was constitutively expressed in retinal ganglion and photoreceptor cells, was upregulated by IFN-gamma and inhibited proliferation of T(H)17. These findings suggest that T(H)1 cells may mitigate uveitis by antagonizing the T(H)17 phenotype through the IFN-gamma-mediated induction of IL-27 in target tissue. The finding that IL-2 promotes T(H)17 expansion provides explanations for the efficacy of IL-2R antibody therapy in uveitis, and suggests that antagonism of T(H)17 by IFN-gamma and/or IL-27 could be used for the treatment of chronic inflammation.",363,2007-Jun-1
20926833,"Effects of AIN457, a fully human antibody to interleukin-17A, on psoriasis, rheumatoid arthritis, and uveitis.","Hueber, Wolfgang; Patel, Dhavalkumar D; Dryja, Thaddeus; Wright, Andrew M; Koroleva, Irina; Bruin, Gerard; Antoni, Christian; Draelos, Zoe; Gold, Michael H; Durez, Patrick; Tak, Paul P; Gomez-Reino, Juan J; Foster, C Stephen; Kim, Rosa Y; Samson, C Michael; Falk, Naomi S; Chu, David S; Callanan, David; Nguyen, Quan Dong; Rose, Kristine; Haider, Asifa; Di Padova, Franco","Title: Effects of AIN457, a fully human antibody to interleukin-17A, on psoriasis, rheumatoid arthritis, and uveitis.
Authors: Hueber, Wolfgang; Patel, Dhavalkumar D; Dryja, Thaddeus; Wright, Andrew M; Koroleva, Irina; Bruin, Gerard; Antoni, Christian; Draelos, Zoe; Gold, Michael H; Durez, Patrick; Tak, Paul P; Gomez-Reino, Juan J; Foster, C Stephen; Kim, Rosa Y; Samson, C Michael; Falk, Naomi S; Chu, David S; Callanan, David; Nguyen, Quan Dong; Rose, Kristine; Haider, Asifa; Di Padova, Franco
Publication Date: 2010-Oct-06
PMID: 20926833
Interleukin-17A (IL-17A) is elaborated by the T helper 17 (T(H)17) subset of T(H) cells and exhibits potent proinflammatory properties in animal models of autoimmunity, including collagen-induced arthritis, experimental autoimmune encephalomyelitis, and experimental autoimmune uveitis. To determine whether IL-17A mediates human inflammatory diseases, we investigated the efficacy and safety of AIN457, a human antibody to IL-17A, in patients with psoriasis, rheumatoid arthritis, and chronic noninfectious uveitis. Patients with chronic plaque-type psoriasis (n = 36), rheumatoid arthritis (n = 52), or chronic noninfectious uveitis (n = 16) were enrolled in clinical trials to evaluate the effects of neutralizing IL-17A by AIN457 at doses of 3 to 10 mg/kg, given intravenously. We evaluated efficacy by measuring the psoriasis area and severity index (PASI), the American College of Rheumatology 20% response (ACR20) for rheumatoid arthritis, or the number of responders for uveitis, as defined by either vision improvement or reduction in ocular inflammation or corticosteroid dose. AIN457 treatment induced clinically relevant responses of variable magnitude in patients suffering from each of these diverse immune-mediated diseases. Variable response rates may be due to heterogeneity in small patient populations, differential pathogenic roles of IL-17A in these diseases, and the different involvement or activation of IL-17A-producing cells. The rates of adverse events, including infections, were similar in the AIN457 and placebo groups. These results support a role for IL-17A in the pathophysiology of diverse inflammatory diseases including psoriasis, rheumatoid arthritis, and noninfectious uveitis.",316,2010-Oct-06
20811163,A look at autoimmunity and inflammation in the eye.,"Caspi, Rachel R","Title: A look at autoimmunity and inflammation in the eye.
Authors: Caspi, Rachel R
Publication Date: 2010-Sep-1
PMID: 20811163
Autoimmune and inflammatory uveitis are a group of potentially blinding intraocular inflammatory diseases that arise without a known infectious trigger and are often associated with immunological responses to unique retinal proteins. In the United States, about 10% of the cases of severe visual handicap are attributed to this group of disorders. As I discuss here, experimental models of ocular autoimmunity targeting retinal proteins have brought about a better understanding of the basic immunological mechanisms involved in the pathogenesis of uveitis and are serving as templates for the development of novel therapies.",212,2010-Sep-1
2249907,The natural history of uveitis.,"Nussenblatt, R B","Title: The natural history of uveitis.
Authors: Nussenblatt, R B
Publication Date: 1990-Oct-1
PMID: 2249907
Inflammatory diseases of the eye were known to the ancients, but only recently have the underlying mechanisms to this problem become better defined. During the middle portion of this century, most cases of uveitis thought to be caused by infectious agents, such as those responsible for syphilis and tuberculosis. Since then, it has become clear that endogenous mechanisms of immunomodulation play an important role in these disorders, which along with environmental and genetic factors make up an important triad. Animals studies have indicated the pivotal role of the T-cell in many of these disorders. The development of T-cell lines has helped to further delineate cell to cell interactions that occur during an ocular inflammatory event. The presence in the eye of uveitogenic antigens raises the strong possibility of autoimmune driven processes as well, similar to what is seen in the animal models. The better understanding of ocular inflammatory mechanisms has led to improved therapeutic strategies, including Sandimmune, and more recently Cyclosporine G, a related compound that may be less nephrotoxic. Newer therapeutic strategies will focus on even more novel modes of immunomodulation, probably without the use of medications.",191,1990-Oct-1
4000641,Standardization of vitreal inflammatory activity in intermediate and posterior uveitis.,"Nussenblatt, R B; Palestine, A G; Chan, C C; Roberge, F","Title: Standardization of vitreal inflammatory activity in intermediate and posterior uveitis.
Authors: Nussenblatt, R B; Palestine, A G; Chan, C C; Roberge, F
Publication Date: 1985-Apr-1
PMID: 4000641
Standardization of observations is recognized as fundamental to clinical research. The methodology for the evaluation of anterior segment inflammatory disease has become well accepted, while the ocular inflammatory standardization of the posterior segment has not been so well described or accepted. A system for the evaluation of vitreal inflammatory activity in patients with intermediate and posterior uveitis is presented. A series of photographs representing various degrees of fundus vitreal haze is depicted. The observer examines the eye with an indirect ophthalmoscope, then chooses the photograph which most closely simulates what is being seen. This technique is rapid and its reproducibility is helpful in standardizing clinical observations.",178,1985-Apr-1
27467180,A Focus on the Epidemiology of Uveitis.,"Tsirouki, Theodora; Dastiridou, Anna; Symeonidis, Chrysanthos; Tounakaki, Ourania; Brazitikou, Irini; Kalogeropoulos, Christos; Androudi, Sofia","Title: A Focus on the Epidemiology of Uveitis.
Authors: Tsirouki, Theodora; Dastiridou, Anna; Symeonidis, Chrysanthos; Tounakaki, Ourania; Brazitikou, Irini; Kalogeropoulos, Christos; Androudi, Sofia
Publication Date: 2018-1-1
PMID: 27467180
Uveitis is a common, sight-threatening inflammatory ocular disease and includes multiple heterogeneous clinical entities. The prevalence of various types of uveitis depends upon multiple factors, such as age, sex, race, geographic distribution, environmental influence, genetics, and social habits. Epidemiologic research of uveitis is necessary to understand the etiology and immunopathogenesis of this group of diseases. The present study attempts to concentrate on the most recent information on the epidemiology of uveitis and compare it with previous knowledge.
METHODS: An extensive literature search was performed in the Medline database (PubMed) and included surveys completed until 2015. Articles that reported prevalence and incidence were studied. References cited in the articles were also studied.
RESULTS: The incidence and prevalence of uveitis differs based on age, anatomic location of the inflammatory process (anterior, intermediate, posterior uveitis, panuveitis), gender, histopathology (granulomatous, non-granulomatous), type of inflammatory process (acute, chronic, recurrent), and etiology (infectious, non-infectious). Prevalence differs by geographic location. Idiopathic anterior uveitis is the most common form of uveitis in the community. Infectious causes are common (30-60%) in the developing countries. Herpes and toxoplasmosis are the leading infectious causes of uveitis. Non-infectious uveitic conditions are generally more common in the developed world. An increase in the prevalence of infectious etiologies, including tuberculosis and syphilis, has been seen in developed countries. Introduction of new treatment options has also changed patterns of disease.
CONCLUSIONS: Introduction of new uveitis entities, changes in the incidence of already known disease and increased availability of diagnostic testing have all altered the epidemiology of uveitis in recent years. Knowledge of regional patterns of disease is essential. A more detailed classification of uveitis with the establishment of uniform diagnostic criteria and prospective population based studies would certainly benefit epidemiologic research and clinical practice.",162,2018-1-1
3346541,A new model of autoimmune disease. Experimental autoimmune uveoretinitis induced in mice with two different retinal antigens.,"Caspi, R R; Roberge, F G; Chan, C C; Wiggert, B; Chader, G J; Rozenszajn, L A; Lando, Z; Nussenblatt, R B","Title: A new model of autoimmune disease. Experimental autoimmune uveoretinitis induced in mice with two different retinal antigens.
Authors: Caspi, R R; Roberge, F G; Chan, C C; Wiggert, B; Chader, G J; Rozenszajn, L A; Lando, Z; Nussenblatt, R B
Publication Date: 1988-Mar-01
PMID: 3346541
Experimental autoimmune uveoretinitis (EAU) is an organ-specific, T lymphocyte-mediated autoimmune disease, which serves as a model for several human ocular inflammations of an apparently autoimmune nature. EAU pathology in some rodents and in monkeys can readily be induced by immunization with several different retinal proteins; however, advancing research into the cellular mechanisms of this disease has raised the need for an EAU model in an immunologically and genetically well defined species. We report here the induction of EAU in the mouse, which has hitherto been considered a species refractory to EAU, with two retinal Ag, the retinal soluble Ag and the interphotoreceptor retinoid-binding protein. Although all the mouse strains tested exhibited lymphocyte responses and antibody titers to both retinal Ag, EAU was inducible in only some of the strains, and the uveitogenic responses to retinal soluble Ag and interphotoreceptor retinoid-binding protein appeared to be mutually exclusive. The EAU model in mice was found to differ in several respects from the EAU model in other rodent species. Induction of the disease was achieved with a relatively high dose of Ag and an intensified immunization protocol, and the onset of disease was later, the duration was longer, and the course was less acute. Anterior segment involvement was slight or nonexistent, and damage to the retina and uvea was of a focal rather than of a diffuse nature. Murine EAU appeared to approximate some types of human uveitis more closely than the EAU models described in other rodent species with respect to its pathologic manifestations as well as its more chronic course. The relatively longer duration of the active stage of disease in murine EAU should facilitate therapeutic intervention in established disease, which was not feasible in the more acute models of EAU. The extensive knowledge of the immunologic parameters of the mouse and the availability of genetically defined strains should be of great value in the study of cellular mechanisms and immunogenetics of ocular autoimmune disease.",154,1988-Mar-01
17116738,Spontaneous autoimmunity prevented by thymic expression of a single self-antigen.,"DeVoss, Jason; Hou, Yafei; Johannes, Kellsey; Lu, Wen; Liou, Gregory I; Rinn, John; Chang, Howard; Caspi, Rachel R; Fong, Lawrence; Anderson, Mark S","Title: Spontaneous autoimmunity prevented by thymic expression of a single self-antigen.
Authors: DeVoss, Jason; Hou, Yafei; Johannes, Kellsey; Lu, Wen; Liou, Gregory I; Rinn, John; Chang, Howard; Caspi, Rachel R; Fong, Lawrence; Anderson, Mark S
Publication Date: 2006-Nov-27
PMID: 17116738
The expression of self-antigen in the thymus is believed to be responsible for the deletion of autoreactive T lymphocytes, a critical process in the maintenance of unresponsiveness to self. The Autoimmune regulator (Aire) gene, which is defective in the disorder autoimmune polyglandular syndrome type 1, has been shown to promote the thymic expression of self-antigens. A clear link, however, between specific thymic self-antigens and a single autoimmune phenotype in this model has been lacking. We show that autoimmune eye disease in aire-deficient mice develops as a result of loss of thymic expression of a single eye antigen, interphotoreceptor retinoid-binding protein (IRBP). In addition, lack of IRBP expression solely in the thymus, even in the presence of aire expression, is sufficient to trigger spontaneous eye-specific autoimmunity. These results suggest that failure of thymic expression of selective single self-antigens can be sufficient to cause organ-specific autoimmune disease, even in otherwise self-tolerant individuals.",147,2006-Nov-27
15492621,Risks of intravitreous injection: a comprehensive review.,"Jager, Rama D; Aiello, Lloyd Paul; Patel, Samir C; Cunningham, Emmett T","Title: Risks of intravitreous injection: a comprehensive review.
Authors: Jager, Rama D; Aiello, Lloyd Paul; Patel, Samir C; Cunningham, Emmett T
Publication Date: 2004-Oct-1
PMID: 15492621
To evaluate the prevalence of the most common serious adverse events associated with intravitreous (IVT) injection.
METHODS: A systematic search of the literature via PubMed from 1966 to March 1, 2004, was conducted to identify studies evaluating the safety of IVT injection. Data submitted in New Drug Applications to the U.S. Food and Drug Administration for drugs administered into the vitreous were included where available. Serious adverse events reported in each study were recorded, and risk per eye and risk per injection were calculated for the following serious adverse events: endophthalmitis, retinal detachment, iritis/uveitis, intraocular hemorrhage, ocular hypertension, cataract, and hypotony. Rare complications also were noted.
RESULTS: Data from 14,866 IVT injections in 4,382 eyes were analyzed. There were 38 cases of endophthalmitis (including those reported as pseudoendophthalmitis) for a prevalence of 0.3% per injection and 0.9% per eye. Excluding cases reported specifically as pseudoendophthalmitis, the prevalence of endophthalmitis was 0.2% per injection and 0.5% per eye. Retinal detachment, iritis/uveitis, ocular hypertension, cataract, intraocular hemorrhage, and hypotony were generally associated with IVT injection of specific compounds and were infrequently attributed by the investigators to the injection procedure itself. Retinal vascular occlusions were described rarely in patients after IVT injection, and it was unclear in most cases whether these represented true injection-related complications or chance associations.
CONCLUSION: The risk of serious adverse events reported after IVT injection is low. Nevertheless, careful attention to injection technique and appropriate postinjection monitoring are essential because uncommon injection-related complications may be associated with permanent vision loss.",135,2004-Oct-1
